Specie_FAO,Peso_medio_ind_kg,kg_2019,kg_2020,kg_2021,kg_2022,kg_2023,Media_kg_5anni,Individui_annui,Percentuale_ind
"Euthynnus excl. skipjack or stripe-bellied bonitos, frozen",1.5,0.5900000000000001,0.21000000000000002,0.61,8.93,0.01,2.07,1380.0,6.751484644134675e-05
"Euthynnus other than skipjack prep. or pres. not minced, nei",1.5,15.9,8.28,31.08,19.92,30.77,21.19,14126.666666666666,0.0006911302396580373
"Fish body oils, nei",1.5,177787.69,192604.47,172927.84,153079.6,125505.22,164380.96399999998,109587309.33333331,5.361427798232148
"Fish dried, whether or not salted, nei",1.5,684.96,609.25,187.97000000000003,150.6,573.92,441.34,294226.6666666667,0.014394687115180663
"Fish fillets, dried, salted or in brine, nei",1.5,1449.71,2821.33,1661.32,963.8199999999999,1603.18,1699.8719999999998,1133247.9999999998,0.05544280050721978
"Fish fillets, fresh or chilled, nei",1.5,9.06,3.34,2.21,4.68,5.7299999999999995,5.004,3336.0,0.0001632098027016904
"Fish fillets, frozen, nei",1.5,1.5999999999999999,3.5200000000000005,3.4299999999999997,2.1199999999999997,0.83,2.3,1533.3333333333333,7.501649604594082e-05
"Fish fillets, prep. or pres, incl. raw, coated in batter or breadcrum, cooked or not, frozen",1.5,68121.20999999999,66114.81999999999,67840.39,63912.590000000004,63560.07,65909.816,43939877.333333336,2.149705848414212
"Fish heads, tail, maws etc., smoked, dried, salted, or in brine",1.5,149.98,147.73999999999998,362.27,193.05,410.24,252.656,168437.33333333334,0.008240594706514446
"Fish heads, tails, maws, tongues, fresh or chilled",1.5,986.33,3620.48,3391.72,1152.2,955.35,2021.2160000000003,1347477.3333333337,0.06592371394434451
"Fish heads, tails, maws, tongues, nei frozen",1.5,4907.41,5462.1900000000005,5843.59,11891.54,9422.01,7505.348000000001,5003565.333333334,0.24479343850669996
"Fish live, nei",1.5,0.01,0.0,0.0,0.08,0.0,0.018,12.0,5.870856212291021e-07
"Fish liver oils, nei",1.5,1018.27,1982.53,1841.8999999999999,2514.38,1306.31,1732.6779999999999,1155118.6666666667,0.05651279666777768
"Fish livers, frozen",1.5,506.16,853.85,621.35,619.04,398.71999999999997,599.824,399882.6666666667,0.019563780314895834
"Fish meat, whether or not minced nei, fresh or chilled",1.5,108.9,176.89,10.99,7.02,0.0,60.75999999999999,40506.666666666664,0.00198174013032668
"Fish meat, whether or not minced, frozen, nei",1.5,1.2,51.94,849.1199999999999,20409.01,20159.97,8294.248,5529498.666666667,0.2705240966504577
"Fish minced (=surimi), frozen",1.5,8287.39,7218.49,11277.009999999998,10413.02,8995.21,9238.224,6158816.0,0.30131269311631115
"Fish minced nei, not in airtight containers prepared or preserved",1.5,122.62,11.56,0.35000000000000003,98.01,0.6599999999999999,46.64,31093.333333333332,0.0015212040763402956
"Fish minced nei, prepared or preserved",1.5,10756.95,11984.72,9491.27,10858.17,12405.41,11099.304,7399536.0,0.3620134324472588
"Fish nei, dried, unsalted",1.5,0.0,0.06,0.0,0.36,6.72,1.428,952.0,4.6575459284175437e-05
"Fish nei, prepared or preserved, not minced",1.5,2937.08,2081.23,2172.79,1580.82,1367.85,2027.9540000000002,1351969.3333333335,0.06614347966189126
"Fish nei, salted or in brine",1.5,1153.1599999999999,789.3100000000001,621.95,818.87,661.44,808.946,539297.3333333334,0.026384475830599847
"Fish nei, smoked",1.5,545.83,484.2,392.21999999999997,647.87,483.14000000000004,510.65199999999993,340434.6666666666,0.016655358147326858
"Fish roes, frozen, nei",1.5,0.0,0.0,0.35000000000000003,22.01,1.6400000000000001,4.800000000000001,3200.0000000000005,0.00015655616566109392
